titulo,preco,quartos,suites,metragem,vagas,link,subtitulo
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",355.000,2 Quartos,1 Suíte,54 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1419284,"TOP LIFE, MIAMI BEACH | TAGUATINGA | 54M² | 2 QUARTOS, 1 SUÍTE | GARAGEM | PLANEJADO E REFORMADO"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",419.000,1 Quarto,1 Suíte,47 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1358101,CONDOMÍNIO CLUBE COM SERVIÇOS DE HOTELARIA
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",590.000,2 Quartos,1 Suíte,105 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1323953,
"QNA 39, TAGUATINGA NORTE, TAGUATINGA",700.000,4 Quartos,1 Suíte,138 m²,4 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-qna-39-1384985,138 M2 | REFORMADO | VAZADO | 2 VAGAS | FRENTE AO TAGUAPARQUE
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",599.000,2 Quartos,1 Suíte,83 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1329034,ACEITA PERMUTA - CARRO DE MENOR VALOR
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",519.000,2 Quartos,1 Suíte,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1417254,
"Quadra C 2, TAGUATINGA CENTRO, TAGUATINGA",295.000,3 Quartos,,86 m²,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-2-1206865,"86M², 2 QUARTOS COM ARMÁRIOS + DCE, A 550M DO METRÔ, EDIFÍCIO THEODORA, C 2 - R$: 295.000"
"QNC 1, TAGUATINGA NORTE, TAGUATINGA",415.000,2 Quartos,1 Suíte,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-1368627,
"CSA 3, TAGUATINGA SUL, TAGUATINGA",345.000,3 Quartos,,61 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csa-3-1333089,AMPLO APARTAMENTO DE CANTO
"CSG 3, TAGUATINGA SUL, TAGUATINGA",530.000,1 Quarto,,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1407981,APARTAMENTO DE 1 QUARTO COM 62 M² NO TAGUA LIFE CENTER EM TAGUATINGA
"QNC 1 Área Especial 19, TAGUATINGA NORTE, TAGUATINGA",430.000,2 Quartos,1 Suíte,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-area-especial-19-1363919,"EXCELENTE LOCALIZAÇÃO, CONDOMÍNIO SEGURO E ORGANIZADO."
"CSB 9, TAGUATINGA SUL, TAGUATINGA",275.000,2 Quartos,,53 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-9-1419831,
"CNB 10 Lote 14, TAGUATINGA NORTE, TAGUATINGA",240.000,2 Quartos,,43 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-lote-14-1371070,LOCALIZAÇÃO
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",310.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1385258,2 QUARTOS REFORMADO COM ARMÁRIOS PLANEJADOS
"CSB 3, TAGUATINGA SUL, TAGUATINGA",660.000,3 Quartos,,70 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-3-1402908,APARTAMENTO PARA VENDA 03 QUARTOS EM TAGUATINGA SUL CSB 03 RESIDENCIAL CARAVÁGIO PRÓXIMO AO METRÔ
"QNL 17, TAGUATINGA NORTE, TAGUATINGA",280.000,2 Quartos,1 Suíte,76 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-17-1185053,"TAGUATINGA, QNL 17, EXCELENTE APARTAMENTO 2 QUARTOS COM SUÍTE! AGENDE SUA VISITA!"
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",450.000,2 Quartos,2 Suítes,60 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-485996,"APARTAMENTO RESIDENCIAL À VENDA, TAGUATINGA NORTE, TAGUATINGA - AP0100."
"Setor SAGOCA Lote 4 Residencial Itamaraty, TAGUATINGA NORTE, TAGUATINGA",370.000,3 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-4---residencial-itamaraty-1361081,SAGOCA - 3 QUARTOS (1 SUÍTE) - 01 VAGA DE GARAGEM - ANDAR ALTO.
"CSG 3, TAGUATINGA SUL, TAGUATINGA",395.000,1 Quarto,1 Suíte,47 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-505985,"VISTA INCRÍVEL , REFORMA DE BOM GOSTO ,ANDAR ALTO, AUTOMATIZADO."
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",289.000,2 Quartos,,50 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1345106,LOCALIZAÇÃO EXCELENTE COM VISTA LIVRE
"QI 24 LoteS 1 A 13, SETOR INDUSTRIAL, TAGUATINGA",350.000,2 Quartos,1 Suíte,55 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-1-a-13-1411560,"EXCELENTE OPORTUNIDADE, PRA MORAR OU INVESTIR"
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",420.000,3 Quartos,1 Suíte,70 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-3-1418515,ANDAR ALTO
"CSG 3, TAGUATINGA SUL, TAGUATINGA",650.000,2 Quartos,1 Suíte,70 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1404136,
"CSA 1, TAGUATINGA SUL, TAGUATINGA",268.000,1 Quarto,,29 m²,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1404317,
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",495.000,2 Quartos,2 Suítes,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1405658,MOBILIADO
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",310.000,2 Quartos,1 Suíte,45 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1368153,"45M², 2 QUARTOS, ARMÁRIOS, GARAGEM, LAZER COMPLETO, RES. MIAMI BEACH - R$: 310.000"
"QSF 1, TAGUATINGA SUL, TAGUATINGA",550.000,2 Quartos,1 Suíte,60 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-1411643,"APARTAMENTO COM 2 DORMITÓRIOS À VENDA, 60 M² POR R$ 550.000,00 - TAGUATINGA SUL - TAGUATINGA/DF"
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",540.000,2 Quartos,,90 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1385183,"COBERTURA NO TOP LIFE LONG BEACH, COM 2 QUARTOS, 2 VAGAS E LAZER COMPLETO"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",680.000,1 Quarto,1 Suíte,102 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1214300,CSG 3. TAGUA LIFE COBERTURA
"QNL 17 Bloco D, TAGUATINGA NORTE, TAGUATINGA",285.000,2 Quartos,,63 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-17-bloco-d-1419501,APARTAMENTO 2 QUARTOS EDIFÍCIO SAINT JAMES
"CSB 7, TAGUATINGA SUL, TAGUATINGA",770.000,3 Quartos,1 Suíte,97 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-7-1301557,VISTA LIVRE PEMANENTE ANDA ALTO E REFORMADO
"QNL 12 Bloco A, TAGUATINGA NORTE, TAGUATINGA",255.000,2 Quartos,,42 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-12-bloco-a-1285519,PRÓXIMO AO COMÉRCIO LOCAL E PARADA DE ÔNIBUS
"QI 24 LoteS 14 A 27, SETOR INDUSTRIAL, TAGUATINGA",370.000,2 Quartos,1 Suíte,52 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-14-a-27-1418299,RESIDENCIAL TOP LIFE LONG BEACH - APARTAMENTO 2 QUARTOS 1 SUÍTE - ARMÁRIOS PLANEJADOS
"Área de Chacará S, TAGUATINGA NORTE, TAGUATINGA",990.000,4 Quartos,3 Suítes,380 m²,3 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-area-de-chacara-s-1339291,CASA COM 4 QUARTOS COMPLETA E AMPLA COM LAZER COMPLETO
"QNB 5, TAGUATINGA NORTE, TAGUATINGA",320.000,2 Quartos,1 Suíte,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnb-5-1332635,
"CSA 1, TAGUATINGA SUL, TAGUATINGA",440.000,1 Quarto,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csa-1-1402353,"APARTAMENTO 1 QUARTO REFORMADO COM LAZER, RESIDENCIAL LUCAS NASCIMENTO - TAGUATINGA SUL"
"CSG 3, TAGUATINGA SUL, TAGUATINGA",450.000,2 Quartos,,64 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1265951,"APARTAMENTO 2 QUARTO, 64M², VARANDA GOURMET - RESIDENCIAL TAGUA LIFE, TAGUATINGA SUL"
"CNB 6, TAGUATINGA NORTE, TAGUATINGA",480.000,2 Quartos,2 Suítes,60 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-6-1373086,
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",400.000,2 Quartos,1 Suíte,70 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-12-1013720,
"CSB 7, TAGUATINGA SUL, TAGUATINGA",220.000,2 Quartos,,40 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-7-1298095,
"QSC 19 Chacará 26, TAGUATINGA SUL, TAGUATINGA",265.000,2 Quartos,2 Suítes,83 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsc-19-chacara-26-1383661,
"QNM 34, TAGUATINGA NORTE, TAGUATINGA",375.000,3 Quartos,1 Suíte,63 m²,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnm-34-1402502,
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",410.000,3 Quartos,1 Suíte,63 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1410292,
"Quadra C 4, TAGUATINGA CENTRO, TAGUATINGA",180.000,2 Quartos,,50 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-4-1401810,
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",365.000,3 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1362156,
"QNC 1, TAGUATINGA NORTE, TAGUATINGA",540.000,3 Quartos,1 Suíte,73 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-1262351,
"Quadra C 6, TAGUATINGA CENTRO, TAGUATINGA",349.000,1 Quarto,1 Suíte,49 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-centro-taguatinga-df-quadra-c-6-1420412,
"CNB 5, TAGUATINGA NORTE, TAGUATINGA",360.000,3 Quartos,,80 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-5-1407113,
"Setor SAGOCA Lote 2 Residencial JK, TAGUATINGA NORTE, TAGUATINGA",375.000,3 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-setor-sagoca-lote-2---residencial-jk-1400037,
"Quadra C 5, TAGUATINGA CENTRO, TAGUATINGA",296.490,2 Quartos,,73 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-5-1406657,
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",597.000,2 Quartos,1 Suíte,82 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-area-especial-6-7-8-1369023,
"CSA 2, TAGUATINGA SUL, TAGUATINGA",690.000,4 Quartos,1 Suíte,147 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-sul-taguatinga-df-csa-2-954355,
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",327.000,2 Quartos,,48 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1411652,
"CSB 3, TAGUATINGA SUL, TAGUATINGA",482.000,2 Quartos,1 Suíte,58 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-3-1350882,
"QSF 1, TAGUATINGA SUL, TAGUATINGA",850.000,2 Quartos,1 Suíte,102 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-1288701,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",499.000,2 Quartos,,64 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csg-3-1383677,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",349.900,1 Quarto,1 Suíte,47 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1401881,
"QSF 1, TAGUATINGA SUL, TAGUATINGA",485.000,2 Quartos,1 Suíte,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-qsf-1-1358796,
"QSF AE, TAGUATINGA SUL, TAGUATINGA",390.000,1 Quarto,,43 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-qsf-ae-1363081,
"QI 19, SETOR INDUSTRIAL, TAGUATINGA",650.000,3 Quartos,1 Suíte,81 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-setor-industrial-taguatinga-df-qi-19-1071819,
"QSA 4, TAGUATINGA SUL, TAGUATINGA",610.000,3 Quartos,1 Suíte,90 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-qsa-4-1373258,
"QNL 1 Bloco B, TAGUATINGA NORTE, TAGUATINGA",350.000,3 Quartos,,72 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-1-bloco-b-1377374,
"QI 24 LoteS 14 A 27, SETOR INDUSTRIAL, TAGUATINGA",320.000,2 Quartos,,47 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-14-a-27-1363036,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",380.000,1 Quarto,1 Suíte,46 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1411488,
"Quadra C 1, TAGUATINGA CENTRO, TAGUATINGA",390.000,2 Quartos,,53 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-1-1397616,
"CSA 03 Lote 07, TAGUATINGA SUL, TAGUATINGA",599.000,3 Quartos,1 Suíte,102 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csa-03-lote-07-1402181,
"QNA 46, TAGUATINGA NORTE, TAGUATINGA",1.750.000,4 Quartos,,430 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-qna-46-477254,
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",290.000,1 Quarto,1 Suíte,42 m²,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-norte-taguatinga-df-cnb-12-1289471,
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",270.000,2 Quartos,,70 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-1-1143526,
"CSB 3, TAGUATINGA SUL, TAGUATINGA",340.000,3 Quartos,1 Suíte,77 m²,,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-3-1143214,
"QNC 3, TAGUATINGA NORTE, TAGUATINGA",260.000,1 Quarto,,34 m²,,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-norte-taguatinga-df-qnc-3-1341362,
"CSB 4, TAGUATINGA SUL, TAGUATINGA",400.000,2 Quartos,,81 m²,,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-sul-taguatinga-df-csb-4-1410534,EDIFÍCIO SAINT ETIENNE II - APARTAMENTO - 2 QUARTOS - REFORMADO - VISTA LIVRE
"CNB 12, TAGUATINGA NORTE, TAGUATINGA",890.410,4 Quartos,2 Suítes,107 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-cnb-12-799204,"CNB 12, RES CÉSAR ACCIOLY, APTO DE 107M², 4 QTS, 2 SUÍTES, VARANDA, 2 VAGAS R$ 890.410,00"
"CNB 2, TAGUATINGA NORTE, TAGUATINGA",480.000,3 Quartos,1 Suíte,68 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-2-1291008,"68M², 3 QUARTOS, SUÍTE, GARAGEM, PRÓXIMO AO METRÔ, RES. LUMA ACCIOLY, CNB 2 - R$: 480.000"
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",260.000,2 Quartos,,43 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1257746,"APARTAMENTO COM 2 QUARTOS, ARMÁRIOS E VAGA COBERTA À VENDA NA CNB 10 - TAGUATINGA NORTE"
"CNB 8, TAGUATINGA NORTE, TAGUATINGA",550.000,4 Quartos,1 Suíte,151 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-cnb-8-1416133,"151M², 3 QUARTOS, SUÍTE + QUARTO DE EMPGREGADA, 270M DA BLUEFIT - R$: 550.000 - FINANCIA"
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",385.000,3 Quartos,1 Suíte,68 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1419888,
"QI 24 LoteS 1 A 13, SETOR INDUSTRIAL, TAGUATINGA",530.000,2 Quartos,,90 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-lotes-1-a-13-1290794,COBERTURA NO MIAMI BEACH TOP LIFE TAGUATINGA | 2 QUARTOS | 2 VAGAS| ACEITA FINANCIAMENTO E FGTS
"QNL 1 Bloco C, TAGUATINGA NORTE, TAGUATINGA",337.000,3 Quartos,,76 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnl-1-bloco-c-1296987,APARTAMENTO PARA VENDA COM 3 QUARTOS E VAGA DE GARAGEM NA QNL 1 - TAGUATINGA NORTE
"CNB 10, TAGUATINGA NORTE, TAGUATINGA",927.000,4 Quartos,3 Suítes,140 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-taguatinga-norte-taguatinga-df-cnb-10-1406036,COBERTURA DUPLEX NA CNB 10 - TAGUATINGA
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",335.000,2 Quartos,1 Suíte,55 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1400130,
"CNB 14 Lote 02, TAGUATINGA NORTE, TAGUATINGA",320.000,2 Quartos,1 Suíte,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-14-lote-02-1225563,EXCELENTE LOCALIZAÇÃO FRENTE NASCENTE COMÉRCIO LOCAL SESC ETC
"QNL 8 Bloco B, TAGUATINGA NORTE, TAGUATINGA",260.000,2 Quartos,,76 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-8-bloco-b-1268374,
"CSG 3, TAGUATINGA SUL, TAGUATINGA",350.000,1 Quarto,1 Suíte,37 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-taguatinga-sul-taguatinga-df-csg-3-1176679,IMPECÁVEL
"Quadra C 1, TAGUATINGA CENTRO, TAGUATINGA",395.000,2 Quartos,1 Suíte,49 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-centro-taguatinga-df-quadra-c-1-1409045,TAGUAPARQUE TAGUATINGA CENTRO 2 QUARTOS VARANDA
"QNC 1, TAGUATINGA NORTE, TAGUATINGA",680.000,3 Quartos,2 Suítes,118 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-qnc-1-1333585,
"QNL 9 Bloco B, TAGUATINGA NORTE, TAGUATINGA",270.500,2 Quartos,,65 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-qnl-9-bloco-b-1293584,QNL 9 EDIFICIO MAR ADRIATRICO | APARTAMENTO 2 QUARTOS BANHEIRO SOCIAL COM ARMÁRIOS COM 1 VAGA DE GAR
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",390.000,3 Quartos,1 Suíte,62 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-sagoca-1406779,RESIDENCIAL JK - APARTAMENTO - 3 QUARTOS - TAGUATINGA - NASCENTE - 62 M - AREA DE LAZER
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",820.000,2 Quartos,1 Suíte,104 m²,2 Vagas,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1373384,TOP LIFE MIAMI BEACH | COBERTURA | 104M²; | JACUZZI PRIVATIVA
"CNB 2, TAGUATINGA NORTE, TAGUATINGA",480.000,3 Quartos,1 Suíte,69 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-norte-taguatinga-df-cnb-2-1403807,"69M², 3 QUARTOS, SUÍTE, GARAGEM, LAZER, PRÓXIMO A ESTAÇÃO PRAÇA DO RELÓGIO - R$: 480.000"
"QI 24, SETOR INDUSTRIAL, TAGUATINGA",360.000,2 Quartos,,44 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-24-1328275,EXCLUSIVIDADE NO RESIDENCIAL MIAMI BEACH | 02 QUARTOS | NASCENTE | ANDAR ALTO
"CSB 7, TAGUATINGA SUL, TAGUATINGA",700.000,3 Quartos,1 Suíte,106 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-taguatinga-sul-taguatinga-df-csb-7-1342625,APARTAMENTO 3 QUARTOS - SUÍTE - LAZER COMPLETO - RESIDENCIAL VIA BELLA CITTÁ
"EQNL 1/3 Bloco C, TAGUATINGA NORTE, TAGUATINGA",109.990,1 Quarto,,30 m²,,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-venda-taguatinga-norte-taguatinga-df-eqnl-1-3-bloco-c-1146636,"APARTAMENTO 1 QUARTO, NASCENTE, 30M² À VENDA NA EQNL 1/3 - TAGUATINGA"
"CNB 14 Lote 02, TAGUATINGA NORTE, TAGUATINGA",290.000,2 Quartos,,59 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-taguatinga-norte-taguatinga-df-cnb-14-lote-02-1199904,CNB 14 PORTO DA BARRA | APARTAMENTO NASCENTE COM 2 QUARTOS - 1 VAGA - TAGUATINGA NORTE
"QI 3, SETOR INDUSTRIAL, TAGUATINGA",650.000,2 Quartos,1 Suíte,103 m²,1 Vaga,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-setor-industrial-taguatinga-df-qi-3-1419166,APARTAMENTO COBERTURA À VENDA EM TAGUATINGA QI 03 ACEITA FINANCIAMENTO E FGTS REFORMADO
